Name,Gender,SSN,Member Date,Phone,State,Zip,Email,Credit Card,Credit Card_Number,Credit Card Exp,Gender,Favorite Radio Station,Purchases Past 30 Days,Spent Past 30 Days,Purchases Past 6 Months,Spent Past 6 Months,Purchases Past 12 Months,Spent Past 12 Months
Mathilda Garner,female,630-24-0308,Wed Mar 26 2008 15:47:16 GMT-0400 (Eastern Daylight Time),(606) 670-1178,Indiana,46355-8501,m.garnerarner@pe.net,Discover Card,6011xxxxxxxx2606,08/27,female,WOGT,2,$855.28,4,$3436.64,7,$7876.909999999999
Isabelle Carroll,female,819-93-0388,Fri Mar 23 2007 09:49:46 GMT-0400 (Eastern Daylight Time),(664) 382-7150,O.K.,56658,i.carrollarroll@oz.org,Diners Club United States & Canada,5469xxxxxxxx7441,10/26,female,KNYV,5,$4012.45,6,$6122.11,7,$8896.21
Mister Clarence Rose,male,517-19-7034,Mon Jun 23 2008 14:08:11 GMT-0400 (Eastern Daylight Time),4084215164,South Dakota,05831-5831,c.Rose@aja.net,Visa,4020xxxxxxxx4934,01/22,male,KLVH,0,$0,2,$973.53,11,$6725.75
Miss Julia Luna,female,865-08-6526,Thu May 01 2014 21:47:00 GMT-0400 (Eastern Daylight Time),7075664120,DC,62409,j.lunauna@imanekni.edu,Diners Club United States & Canada,5402xxxxxxxx6466,05/19,female,KZFQ,1,$737.39,4,$3990.65,11,$11678.63
Marc Butler,male,500-06-7382,Fri Feb 05 2010 11:52:29 GMT-0500 (Eastern Standard Time),(856) 569-6015,Oklahoma,12551,m.butlerutler@detoteju.ca,American Express,3448xxxxxxx9822,03/23,male,KCBP,3,$1009.7,6,$4001.3,10,$7463.490000000002
Jeremiah Myers,male,406-15-9672,1/18/2008,2272746884,Washington,07567,j.myersyers@ite.com,Discover Card,6011xxxxxxxx4932,10/18,male,KNGE,1,$647.1,3,$2173.01,9,$6739.880000000001
Misses Stella Medina,female,034-56-0035,1/15/2016,5648007798,New Jersey,47859-5568,s.Medina@bubmir.nz,Diners Club United States & Canada,5419xxxxxxxx0804,04/20,female,WRAA,4,$1269.13,7,$5365.41,13,$11921.71
Mrs. Sadie Santos,female,929-10-4376,8/8/2017,(736) 804-3680,Alabama,43817-8210,s.santosantos@ligijzi.co,American Express,3485xxxxxxx4433,08/20,female,WCUQ,2,$718.3,5,$4130.12,15,$11524.789999999999
Mister Sam Greer,male,602-91-1583,9/10/2007,5539949235,MT,39015,s.greerreer@jonobed.edu,Diners Club United States & Canada,5450xxxxxxxx7463,06/18,male,KCSP,5,$2679.28,9,$6981.420000000001,16,$14608.360000000002
Rhoda Singleton,female,254-67-7333,Mon Aug 29 2011 10:58:39 GMT-0400 (Eastern Daylight Time),(503) 665-6084,WI,87473-0468,r.singletoningleton@zowvom.ca,Mastercard,5110xxxxxxxx7497,12/25,female,WDVN,3,$1441.54,6,$5888.69,12,$12852.710000000003
Ruby Wilson,female,285-04-5541,18/2/2013,(522) 333-7466,D.E.,52151-3380,r.wilsonilson@if.ca,Mastercard,5196xxxxxxxx2016,07/26,female,WHQO,4,$2158.44,6,$5530.659999999999,9,$9011.48
Dr. Jerome Brock,male,285-67-9947,Tue Jul 19 2016 05:32:08 GMT-0400 (Eastern Daylight Time),(874) 604-2635,Connecticut,98083,j.brockrock@galig.gov,Diners Club United States & Canada,5478xxxxxxxx9494,01/19,male,WZBH,1,$613.57,2,$1798.73,11,$5665.6900000000005
Alexander Curtis,male,256-09-7132,Tue Jul 17 2007 19:29:03 GMT-0400 (Eastern Daylight Time),8883092132,ID,13100-9663,a.Curtis@zedir.gov,Diners Club United States & Canada,5409xxxxxxxx4894,12/23,male,KOLQ,1,$787.03,6,$4592.04,12,$9140.74
Miss Julia Graves,female,072-52-9172,Thu Jan 03 2013 23:50:50 GMT-0500 (Eastern Standard Time),2074539016,L.A.,81865,j.gravesraves@sihceppe.au,American Express,3484xxxxxxx0063,10/24,female,KOJV,0,$0,2,$1512.5,11,$7237.740000000001
Doctor Shawn Nunez,male,989-07-1553,Sun May 03 2015 14:41:01 GMT-0400 (Eastern Daylight Time),3676889514,C.O.,35456,s.nunezunez@wizeg.net,American Express,3457xxxxxxx6817,06/22,male,KSAY,2,$1665.74,6,$3814.96,13,$11958.040000000003
Willie Daniels,female,317-80-6415,Sun Jan 02 2005 01:26:14 GMT-0500 (Eastern Standard Time),6399695817,M.S.,51704-0521,w.danielsaniels@ze.org,Mastercard,5160xxxxxxxx2799,04/27,female,WNSL,3,$1435.7300000000002,6,$5413.29,7,$9657.12
Doctor Corey Gonzales,male,075-48-5548,Fri Jan 02 2015 14:01:05 GMT-0500 (Eastern Standard Time),(442) 377-8662,AR,08746,c.Gonzales@igo.gov,American Express,3453xxxxxxx5157,11/20,male,KDDW,4,$1013.56,6,$4120.18,11,$10092.140000000001
Lizzie Todd,female,506-23-5773,4/4/2014,(208) 708-3833,Washington,72134,l.toddodd@ojozi.au,Mastercard,5177xxxxxxxx8635,02/18,female,KIGS,3,$1936.33,8,$8221.65,17,$17013.14
Tony Perkins,male,408-87-5391,5/26/2015,(569) 663-4363,Maryland,56526-0169,t.perkinserkins@zamgivov.au,Discover Card,6011xxxxxxxx9501,09/19,male,WQBX,2,$919.36,6,$4441.14,16,$12169.29
Genevieve Holt,female,341-59-1543,11/2/2014,(410) 783-4505,Rhode Island,14706,g.holtolt@pejfukvuw.gov,Mastercard,5140xxxxxxxx6754,06/21,female,WWIM,5,$2447.1,8,$6022.740000000001,13,$12569.590000000004
Oscar Freeman,male,741-19-0220,11/18/2013,7815742493,Iowa,95529,o.Freeman@ozmihkov.org,Diners Club United States & Canada,5450xxxxxxxx7542,07/21,male,KKML,2,$840.59,6,$4073.0099999999998,16,$11873.52
Lora Cannon,female,951-42-3288,Fri Jan 14 2011 03:38:25 GMT-0500 (Eastern Standard Time),(973) 860-3358,MA,80801-0508,l.Cannon@peb.org,Discover Card,6011xxxxxxxx4087,06/22,female,WAXO,2,$793.05,7,$5418.96,15,$14036.359999999999
Dr. Franklin Woods,male,423-17-9528,18/6/2017,(642) 737-2481,Idaho,42514-6868,f.woodsoods@vepbic.gov,American Express,3471xxxxxxx8437,10/25,male,KEUA,4,$1664.77,6,$3863.4700000000007,15,$12498.140000000003
Nellie Flores,female,061-58-4651,Wed Oct 05 2011 00:04:49 GMT-0400 (Eastern Daylight Time),7569511378,Michigan,60599-1558,n.floreslores@ipjiv.org,American Express,3499xxxxxxx0594,06/22,female,WWMW,0,$0,5,$2866.3500000000004,6,$5103.48
Misses Cynthia Jordan,female,775-94-6183,12/28/2005,2278067920,Maine,10737,c.jordanordan@runeb.gov,Diners Club United States & Canada,5490xxxxxxxx2434,04/18,female,WLTR,0,$0,2,$1025.03,3,$3167.4700000000003
Katharine Barker,female,196-72-1036,3/12/2013,6788459022,A.Z.,91307-6852,k.barkerarker@da.au,Mastercard,5105xxxxxxxx4422,09/24,female,KUQE,1,$854.38,2,$1150.4299999999998,4,$3212.36
Dr. Delia Figueroa,female,891-10-9776,Thu Sep 20 2007 02:36:00 GMT-0400 (Eastern Daylight Time),8084936880,Washington,06850-3317,d.figueroaigueroa@vih.net,Discover Card,6011xxxxxxxx1468,12/21,female,KQSC,3,$1748.5100000000002,4,$2735.1500000000005,14,$11925.810000000001
Doctor Landon Cummings,male,641-74-5929,Mon Aug 07 2017 06:09:07 GMT-0400 (Eastern Daylight Time),(925) 396-9121,Hawaii,35584,l.cummingsummings@hiez.net,American Express,3496xxxxxxx0772,06/21,male,KJPT,2,$895.1700000000001,3,$2649.0699999999997,7,$7513.95
Mister Joshua Holmes,male,549-23-3122,25/4/2013,3238608850,ND,27244-1126,j.Holmes@banhag.edu,Visa,4702xxxxxxxx1691,01/26,male,KPKT,2,$518.75,5,$2566.4900000000002,10,$6994.620000000002
Dr. Adrian Perez,male,675-40-3970,3/22/2005,(838) 481-4261,New Hampshire,16257-6483,a.Perez@lil.net,American Express,3414xxxxxxx7298,08/20,male,WEIT,2,$894.68,3,$3141.65,13,$10221.9
Leo Romero,male,685-30-5364,Sat Aug 30 2008 11:11:08 GMT-0400 (Eastern Daylight Time),(739) 821-4469,S.D.,53378-8061,l.romeroomero@tivhi.net,American Express,3482xxxxxxx8680,07/21,male,KWVI,0,$0,2,$1027.8600000000001,8,$4608.339999999999
Dean Glover,male,134-17-6374,Sun May 10 2015 18:42:31 GMT-0400 (Eastern Daylight Time),3155216395,AR,11225-2164,d.gloverlover@piepopi.de,Visa,4433xxxxxxxx0738,01/21,male,KXKW,2,$924.4,6,$3887.55,7,$6343.03
Misses Eva Carlson,female,544-60-7242,Tue Mar 07 2006 00:12:07 GMT-0500 (Eastern Standard Time),(687) 217-9066,Tennessee,75021-7285,e.carlsonarlson@cem.org,Mastercard,5142xxxxxxxx9851,02/18,female,WMEX,4,$2276.9399999999996,7,$5446.479999999999,11,$13022.789999999999
Flora Freeman,female,688-80-8539,Thu Dec 08 2011 18:02:52 GMT-0500 (Eastern Standard Time),(309) 799-9752,RI,49044-5574,f.Freeman@tuj.au,Discover Card,6011xxxxxxxx3963,06/19,female,WLAC,2,$622.69,6,$3162.0899999999997,14,$9983.93
Corey Tyler,male,635-52-6043,12/14/2009,9142609769,MO,01437,c.tyleryler@ov.gov,Diners Club United States & Canada,5433xxxxxxxx8705,07/20,male,KNXU,3,$2623.48,4,$4420.21,8,$9640.31
Calvin Thornton,male,285-78-2948,Fri Apr 04 2014 22:58:55 GMT-0400 (Eastern Daylight Time),9864523010,TN,61815,c.Thornton@gi.com,American Express,3431xxxxxxx5361,04/23,male,WRIE,0,$0,2,$753.23,9,$5290.9
Leila Tucker,female,161-06-9297,4/2/2015,(456) 360-3626,LA,20736-9711,l.tuckerucker@huhjegdam.com,American Express,3407xxxxxxx1590,07/25,female,WEMP,2,$1237.42,3,$3053.66,10,$8500.539999999999
Mr. Gordon Warner,male,654-84-8336,1/2/2016,9492933151,Kentucky,34748,g.warnerarner@go.ca,Mastercard,5186xxxxxxxx3325,03/24,male,WWAW,5,$3255.35,9,$8402.090000000002,11,$14212.36
Steven Richards,male,930-19-5542,1/6/2007,(583) 391-8580,W.Y.,17346-1752,s.richardsichards@kifof.com,Discover Card,6011xxxxxxxx8523,07/20,male,KIWK,0,$0,4,$2011.7800000000002,7,$5758.26
Mr. Wesley Moreno,male,769-69-9200,Sun Aug 19 2012 20:25:26 GMT-0400 (Eastern Daylight Time),(286) 997-8319,S.D.,58299-9146,w.Moreno@ewadimo.gov,Mastercard,5147xxxxxxxx7518,08/25,male,KERQ,0,$0,3,$1894.75,11,$7164.590000000001
Mister Connor Cruz,male,609-33-0705,25/2/2017,7372993937,Georgia,43285-3042,c.cruzruz@kedozu.org,Discover Card,6011xxxxxxxx8752,04/18,male,WYIO,0,$0,3,$1724.08,9,$5489.459999999999
Mister Jon Wong,male,622-96-3223,22/7/2005,8818704240,Mississippi,93899-8158,j.wongong@joumifar.gov,Diners Club United States & Canada,5465xxxxxxxx1001,03/18,male,WXXA,5,$3099.4900000000002,7,$6209.360000000001,8,$10970.1
Jeffery Hammond,male,358-24-5692,11/12/2006,3389845323,Maine,45446-5999,j.hammondammond@ig.edu,Discover Card,6011xxxxxxxx8845,08/17,male,WTWL,1,$301.91,5,$2755.0699999999997,6,$7266.249999999999
Chad Hogan,male,429-64-1928,Wed Apr 20 2016 20:32:09 GMT-0400 (Eastern Daylight Time),8745785689,M.D.,88275-7411,c.Hogan@salo.net,American Express,3464xxxxxxx9920,01/23,male,WOAE,2,$428.25,6,$3481.75,12,$11851.75
Miss Mathilda Dawson,female,930-17-1631,11/2/2008,(443) 298-9517,Wisconsin,85338,m.dawsonawson@urowipge.edu,Discover Card,6011xxxxxxxx7356,01/26,female,WSLI,2,$491.70000000000005,6,$2029.8700000000001,10,$7533.380000000001
Miss Lizzie Newman,female,848-93-7829,Wed Dec 03 2008 00:19:18 GMT-0500 (Eastern Standard Time),(459) 335-7003,Ohio,42406,l.newmanewman@giz.edu,Discover Card,6011xxxxxxxx5239,10/26,female,WJBZ,4,$2073.27,9,$8416.39,17,$17858.759999999995
Dr. Aaron Singleton,male,432-85-4253,24/5/2012,3643158922,Minnesota,97952-4677,a.Singleton@vapi.ca,Visa,4822xxxxxxxx9788,10/22,male,WMCF,4,$2626.06,7,$6379.4299999999985,12,$11852.439999999995
Miss Lucy Roberts,female,153-73-7161,Sat Jun 21 2014 00:13:25 GMT-0400 (Eastern Daylight Time),6766837705,ID,01104,l.robertsoberts@ajitoofa.com,Mastercard,5158xxxxxxxx9806,01/20,female,KFDL,3,$1170.96,6,$3052.32,10,$7854.780000000002
Misses Estella Page,female,975-78-2839,5/8/2011,(316) 905-9954,F.L.,44939,e.pageage@tubceh.edu,Visa,4345xxxxxxxx0465,07/23,female,WLZD,4,$1646.7,5,$4284.700000000001,11,$10200.95
Georgie Gray,female,094-64-0922,Sat Jan 19 2008 15:00:57 GMT-0500 (Eastern Standard Time),9348553247,A.Z.,65944,g.grayray@rim.au,American Express,3440xxxxxxx6635,08/27,female,KPRN,0,$0,5,$3229.25,15,$10017.849999999999
Eva West,female,414-15-3586,11/6/2005,6168488710,Ohio,78071-7673,e.westest@mulpi.edu,Diners Club United States & Canada,5405xxxxxxxx4594,05/19,female,WHRH,2,$1314.21,4,$3546.4700000000003,7,$7865.169999999999
Doctor Austin Rodriguez,male,053-03-3164,Sat Mar 03 2007 16:46:41 GMT-0500 (Eastern Standard Time),5226735106,ME,64343,a.rodriguezodriguez@lijig.info,Diners Club United States & Canada,5426xxxxxxxx8572,03/23,male,WATZ,4,$1694.8000000000002,8,$6796.370000000001,9,$11206.340000000002
Doctor Kathryn McKinney,female,600-91-4638,Thu Apr 05 2012 13:38:51 GMT-0400 (Eastern Daylight Time),3798586771,Vermont,01258-1380,k.mckinneycKinney@zas.net,Discover Card,6011xxxxxxxx7389,07/21,female,WPKV,5,$1298.48,9,$7139.69,13,$15240.580000000004
Lela Ryan,female,445-64-3827,10/30/2006,(647) 368-3258,A.R.,61960,l.ryanyan@lo.net,Discover Card,6011xxxxxxxx4894,10/23,female,KJVQ,5,$2651.82,6,$4424.400000000001,9,$8898.429999999998
Mrs. Myrtie Love,female,119-18-1457,4/4/2006,(709) 486-6091,North Dakota,39831,m.Love@ebugucawa.co,Visa,4623xxxxxxxx9568,02/21,female,KTCE,5,$2350.02,9,$7227.570000000001,15,$15649.97
Jay Padilla,male,656-92-4790,Fri Nov 05 2010 10:53:46 GMT-0400 (Eastern Daylight Time),6507178479,WA,35030-6552,j.padillaadilla@bu.net,Mastercard,5158xxxxxxxx0484,09/19,male,KTAR,5,$3493.05,8,$8126.660000000001,12,$14236.070000000002
Mr. Dustin Reyes,male,166-58-2274,Mon Dec 26 2011 11:36:38 GMT-0500 (Eastern Standard Time),(434) 212-4670,W.Y.,06738-1470,d.reyeseyes@atikic.edu,Mastercard,5180xxxxxxxx8898,01/19,male,KUDJ,3,$2122.72,4,$3197.09,12,$8938.35
Doctor Victoria Wells,female,069-90-3624,Fri Feb 17 2006 02:08:05 GMT-0500 (Eastern Standard Time),8624608424,N.J.,60160,v.wellsells@ofdemut.gov,American Express,3480xxxxxxx1065,05/23,female,WRIG,4,$1972.97,8,$6944.02,15,$15347.439999999997
Minerva Hall,female,188-13-6018,Thu Nov 26 2015 04:33:48 GMT-0500 (Eastern Standard Time),9142358002,Maine,54035-8576,m.hallall@suwofoj.nz,Mastercard,5145xxxxxxxx7472,06/24,female,WNOB,4,$1919.8799999999999,5,$4040.1,9,$9596.230000000001
Miss Emily Little,female,333-35-4406,5/6/2009,(380) 302-7882,Kansas,64985,e.littleittle@azaevelo.de,Discover Card,6011xxxxxxxx4549,09/22,female,KNDB,1,$441.5,4,$2416.6400000000003,12,$7932.43
Lida Quinn,female,945-20-5036,7/7/2007,2343426833,HI,36663,l.quinnuinn@te.nz,Discover Card,6011xxxxxxxx0614,07/17,female,KZNJ,5,$2405.54,9,$6692.819999999999,10,$12601.889999999998
Mr. Travis Lawrence,male,945-13-3369,23/12/2013,9776989029,MA,78944-2860,t.lawrenceawrence@jezgowel.gov,Visa,4569xxxxxxxx1537,01/25,male,WCOV,4,$2295.2200000000003,7,$4967.71,17,$12725.04
George Scott,male,711-84-1824,10/8/2012,7447212554,Colorado,19582-1699,g.Scott@itfo.com,Mastercard,5109xxxxxxxx4008,02/26,male,KYOX,5,$2414.63,6,$5725.240000000001,8,$10302.68
Mr. Steven Goodman,male,150-34-0967,9/22/2013,2449654011,Kansas,69715,s.Goodman@lun.org,Mastercard,5165xxxxxxxx6019,06/22,male,KUDZ,2,$1117.62,7,$4845.41,16,$10950.74
